ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	ma_20	ma_50	ma_100	ma_200	sma_distance_pct	rs_leadership	rs_spy_20d	structure	structure_shift	day_vol	flow	energy	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_context.vcp.base_range_pct	elder_context.vcp.vcp_tightness_pct	elder_pattern	mp_accel_state	rs_down_day_20d	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
WT	71	False	XLF	Financials	Declining — Avoid	21.55	19.83	18.72	16.33	18.53	IN-LINE	17.25	84.2	BULLISH_BOS	0.75	60.5	58.0	23.51	null	null	False	null	NONE	False	False	26.1	17.2	null	ACCELERATING	-0.18	BEARISH	2	22.68	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
NVS	157	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	155.48	154.33	151.76	148.25	2.94	LEADER	-1.14	58.9	BULLISH_BOS	0.75	57.9	76.5	158.86	155.48	ma20	True	2.13	NONE	False	False	7.6	84.7	ACCELERATION	ACCELERATING	0.29	NONE	0	155.7	null
BMY	94	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	64.73	60.57	59.19	57.14	10.63	IN-LINE	4.3	71.6	RANGE	0.54	53.9	82.4	67.01	null	null	False	null	NONE	True	False	9.8	81.5	CORRECTION_REENTRY	ACCELERATING	-0.18	NONE	0	65.21	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
FLUT	189	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	100.13	103.22	103.12	137.51	-0.59	LAGGARD	-2.28	38.3	RANGE	0.31	48.7	48.7	102.61	null	null	False	null	NONE	False	False	20.6	52.8	INTERRUPTED	ACCELERATING	-0.96	NONE	0	97.56	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ELF	135	False	XLP	Consumer Staples	Momentum Fading — Hold, Don't Add	90.72	79.07	69.35	74.91	28.92	IN-LINE	28.15	84.2	ABOVE_STRUCTURE	0.56	36.8	69.7	101.94	null	null	False	null	NONE	False	False	26.9	49.9	ACCELERATION	ACCELERATING	0.18	BEARISH	2	97.4	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
VZ	136	False	XLC	Communication Services	Momentum Fading — Hold, Don't Add	47.65	45.66	46.45	45.23	8.29	LEADER	2.99	76.8	BULLISH_BOS	0.66	57.9	75.6	49.45	null	null	False	null	NONE	False	False	9.8	36.0	null	DECELERATING	0.38	NONE	0	48.41	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
RBRK	127	False	XLK	Technology	Momentum Fading — Hold, Don't Add	88.76	81.9	71.05	67.85	22.21	LEADER	33.03	54.1	RANGE	0.7	57.9	63.9	100.09	null	null	False	null	null	null	null	45.1	21.3	null	null	1.18	null	null	95.21	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SLDE	79	False	XLF	Financials	Declining — Avoid	21.32	20.12	19.17	18.32	13.02	LEADER	8.62	82.1	RANGE	0.93	60.5	73.1	22.74	null	null	False	null	NONE	False	False	16.4	44.9	SUSTAINED	ACCELERATING	1.34	NONE	0	21.99	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
TEAM	36	False	XLK	Technology	Momentum Fading — Hold, Don't Add	135.88	106.07	93.64	107.91	61.99	LEADER	94.13	76.2	ABOVE_STRUCTURE	0.57	61.8	68.1	171.81	null	null	False	null	NONE	False	False	66.3	19.3	null	FLAT	1.19	NONE	0	162.89	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
GILD	22	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	136.1	131.9	132.72	133.06	10.78	LEADER	9.37	81.1	ABOVE_STRUCTURE	0.8	73.7	64.7	146.12	null	null	False	null	null	null	null	14.9	57.9	CORRECTION_REENTRY	null	0.32	null	null	142.06	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
AMT	177	False	XLRE	Real Estate	Momentum Building — Add	172.74	171.95	176.2	177.88	2.24	LEADER	1.85	49.5	BEARISH_CHOCH	0.62	31.6	71.4	175.8	null	null	False	null	NONE	True	False	10.4	43.4	ACCELERATION	ACCELERATING	0.52	BULLISH	0	171.31	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CSX	167	False	XLI	Industrials	Declining — Avoid	50.57	49.39	47.01	42.4	4.45	LEADER	-6.71	58.9	RANGE	1.14	31.6	87.4	51.59	50.57	ma20	True	1.98	NONE	True	False	null	null	null	FLAT	0.41	NONE	0	50.6	null
ADBE	32	False	XLK	Technology	Momentum Fading — Hold, Don't Add	260.47	232.75	239.44	270.43	18.28	LEADER	18.67	96.8	ABOVE_STRUCTURE	0.86	59.2	72.3	275.3	null	null	False	null	NONE	False	False	18.7	52.5	ACCELERATION	ACCELERATING	0.9	NONE	0	264.24	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SAP	53	False	XLK	Technology	Momentum Fading — Hold, Don't Add	199.9	174.31	174.21	198.23	25.46	LEADER	33.05	90.5	ABOVE_STRUCTURE	0.49	52.6	65.5	218.68	null	null	False	null	NONE	False	False	27.1	24.2	null	ACCELERATING	1.47	NONE	0	212.44	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
AMGN	20	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	408.16	378.96	359.59	352.83	15.93	LEADER	13.21	73.7	ABOVE_STRUCTURE	0.76	78.9	63.0	439.33	null	null	False	null	NONE	False	False	16.8	45.7	null	ACCELERATING	0.84	NONE	0	428.34	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
HOG	41	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	26.3	25.93	24.77	22.88	8.74	IN-LINE	7.01	82.1	RANGE	0.98	73.7	66.4	28.2	null	null	False	null	NONE	False	False	16.9	39.7	CORRECTION_REENTRY	ACCELERATING	-0.01	NONE	0	27.22	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CART	113	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	47.65	46.47	43.71	41.71	7.23	IN-LINE	14.43	73.7	RANGE	0.7	59.2	64.7	49.83	47.65	ma20	True	4.37	NONE	False	False	19.5	43.1	null	ACCELERATING	0.01	BEARISH	1	47.91	null
BHP	116	False	XLB	Materials	Momentum Fading — Hold, Don't Add	88.25	85.61	83.82	74.55	13.34	LEADER	12.27	83.2	ABOVE_STRUCTURE	1.43	61.8	60.5	97.03	null	null	False	null	NONE	False	False	17.7	59.9	ACCELERATION	ACCELERATING	0.81	NONE	0	94.46	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
PFE	52	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	26.3	25.36	25.92	25.99	10.68	LEADER	10.76	84.2	ABOVE_STRUCTURE	0.91	59.2	64.7	28.07	null	null	False	null	NONE	False	False	15.1	45.4	null	ACCELERATING	0.74	NONE	0	27.46	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
HRB	131	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	48.31	42.43	38.43	38.5	26.52	LEADER	27.85	55.8	RANGE	0.59	42.1	75.6	53.68	null	null	False	null	NONE	False	False	35.7	19.8	null	FLAT	0.82	NONE	0	51.44	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
MDT	120	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	88.84	84.35	82.65	89.8	10.67	LEADER	8.56	68.4	null	1.07	59.2	62.2	93.35	null	null	False	null	NONE	False	False	12.9	38.8	null	ACCELERATING	0.96	NONE	0	91.2	no valid bracket — no structural resistance above price
GOLD	69	True	null	null	null	43.16	42.03	42.57	41.87	9.96	LAGGARD	13.81	94.7	ABOVE_STRUCTURE	1.44	68.4	59.7	46.21	null	null	False	null	null	null	null	17.6	65.0	CORRECTION_REENTRY	null	-0.31	null	null	44.26	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
TOST	60	False	XLK	Technology	Momentum Fading — Hold, Don't Add	34.12	30.34	28.28	30.21	20.78	LEADER	22.55	78.9	BULLISH_BOS	0.8	51.3	73.1	36.64	null	null	False	null	NONE	False	False	21.1	38.2	ACCUMULATION_BASE	ACCELERATING	0.99	BEARISH	1	35.36	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
TEVA	100	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	35.45	33.88	33.56	31.95	10.21	LEADER	17.57	94.7	ABOVE_STRUCTURE	0.71	35.5	64.7	37.34	null	null	False	null	null	null	null	20.1	24.8	null	null	1.85	null	null	36.31	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
BP	148	False	XLE	Energy	Momentum Fading — Hold, Don't Add	43.14	41.3	43.19	40.44	8.37	LEADER	-1.48	63.2	RANGE	1.07	68.4	73.1	44.76	null	null	False	null	NONE	False	False	9.9	73.4	ACCELERATION	DECELERATING	1.8	MIXED	2	43.75	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
LLY	123	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	1198.1	1179.58	1083.99	1052.98	6.43	LEADER	1.34	68.4	BULLISH_BOS	0.88	78.9	63.0	1255.4	null	null	False	null	NONE	False	False	15.3	68.8	ACCELERATION	ACCELERATING	1.28	BULLISH	0	1213.48	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CPB	47	False	XLP	Consumer Staples	Momentum Fading — Hold, Don't Add	22.86	22.43	21.66	24.48	6.76	IN-LINE	6.04	68.4	null	0.94	67.1	83.2	23.95	null	null	False	null	BREAKOUT_UP	True	False	11.0	61.8	ACCELERATION	ACCELERATING	0.1	NONE	0	23.22	no valid bracket — no structural resistance above price
EOG	143	False	XLE	Energy	Momentum Fading — Hold, Don't Add	143.84	138.99	138.09	126.74	10.11	LEADER	0.92	73.7	ABOVE_STRUCTURE	1.11	73.7	62.2	153.05	null	null	False	null	NONE	False	False	14.1	54.5	SUSTAINED	ACCELERATING	1.91	MIXED	1	149.36	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
RELY	101	False	XLK	Technology	Momentum Fading — Hold, Don't Add	24.48	23.28	21.79	18.06	14.56	LEADER	14.75	76.8	RANGE	0.86	60.5	65.5	26.67	null	null	False	null	NONE	False	False	19.5	47.5	CORRECTION_REENTRY	ACCELERATING	0.5	NONE	0	25.46	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
FIGR	5	False	XLF	Financials	Declining — Avoid	30.32	29.99	32.4	36.94	30.36	LEADER	38.09	86.7	ABOVE_STRUCTURE	1.22	88.2	63.0	39.1	null	null	False	null	NONE	False	False	48.8	47.4	CORRECTION_REENTRY	ACCELERATING	0.6	BULLISH	0	36.64	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SHEL	158	False	XLE	Energy	Momentum Fading — Hold, Don't Add	90.22	85.37	86.73	82.28	9.32	LEADER	1.98	68.4	BULLISH_BOS	0.55	35.5	76.5	93.33	null	null	False	null	NONE	False	False	9.8	46.9	null	FLAT	1.36	NONE	0	91.81	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
INTC	198	False	XLK	Technology	Momentum Fading — Hold, Don't Add	95.7	108.18	100.44	71.51	-16.74	LAGGARD	-6.06	28.4	BEARISH_CHOCH	0.77	19.7	39.5	90.07	81.79	swing_low_1	True	9.19	NONE	False	False	null	null	null	DECELERATING	-1.54	NONE	0	83.57	null
CME	42	True	XLF	Financials	Declining — Avoid	265.59	252.15	268.91	278.54	9.06	LEADER	4.08	76.8	null	0.92	76.3	76.5	274.98	265.59	ma20	True	3.41	BREAKOUT_UP	True	False	9.1	54.3	CORRECTION_REENTRY	DECELERATING	0.96	NONE	0	268.57	null
