ticker	rank	held	structure	structure_shift	sma_distance_pct	atr_14d	atr_caution	day_vol	mp_state	mp_accel_state	lens	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_pattern	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
RBRK	127	False	54.1	RANGE	22.21	4.88	False	0.7	FADING	null	"{""leadership"": ""--"", ""coil"": ""--"", ""insti_money"": ""--"", ""structure"": ""ok"", ""resistance"": ""--"", ""extension"": null, ""sector"": ""strong""}"	100.09	null	null	False	null	null	null	null	null	null	null	95.21	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
HRB	131	False	55.8	RANGE	26.52	2.24	False	0.59	STRONG	FLAT	"{""leadership"": ""ok"", ""coil"": ""warn"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	53.68	null	null	False	null	NONE	False	False	null	NONE	0	51.44	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
DHR	98	False	84.2	ABOVE_STRUCTURE	11.98	6.96	False	1.07	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""warn"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	218.85	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	211.89	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
INTC	198	False	28.4	BEARISH_CHOCH	-16.74	6.5	False	0.77	BUILDING	DECELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""warn"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	90.07	81.79	swing_low_1	True	9.19	NONE	False	False	null	NONE	0	83.57	null
ABNB	45	False	73.7	BULLISH_BOS	21.94	5.75	False	0.8	STRONG	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""warn"", ""structure"": ""strong"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	187.3	null	null	False	null	NONE	False	False	null	NONE	0	181.55	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
DXCM	96	False	74.1	ABOVE_STRUCTURE	18.95	2.81	False	0.61	STRONG	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	92.34	null	null	False	null	NONE	False	False	null	NONE	0	89.53	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
VALE	195	False	34.7	RANGE	-0.93	0.4	False	1.19	BUILDING	DECELERATING	"{""leadership"": ""strong"", ""coil"": ""ok"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	14.59	14.01	swing_low_3	True	3.98	NONE	False	False	ACCUMULATION_BASE	BULLISH	0	14.19	null
MAN	64	False	84.2	ABOVE_STRUCTURE	32.65	2.38	False	0.83	BUILDING	DECELERATING	"{""leadership"": ""strong"", ""coil"": ""ok"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""warn""}"	61.45	null	null	False	null	NONE	False	False	ACCUMULATION_BASE	NONE	0	59.07	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
MDLZ	66	False	63.2	RANGE	5.09	1.43	False	0.67	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	64.45	62.78	ma20	True	2.59	NONE	True	False	ACCELERATION	NONE	0	63.02	null
ADP	93	False	73.7	BULLISH_BOS	12.56	7.29	False	1.07	STRONG	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""ok"", ""structure"": ""strong"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""warn""}"	280.81	null	null	False	null	NONE	False	False	ACCUMULATION_BASE	NONE	0	273.52	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
