# DICT bracket.targets fields (in order): type,price,atr_dist,tp,r,date,vol_ratio,vol_validated; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	atr_caution	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	day_vol	lens	lens.coil	lens.insti_money	lens.leadership	lens.resistance	lens.sector	lens.structure	lens_positive	lens_ranking	lens_warnings	mp_accel_state	mp_state	rank	sma_distance_pct	structure	structure_shift
VEEV	280.68	1	False	8.62	42	False	null	3.8	2.92	1.46	270.02	4	R@296.24@1.81@TP1@1.46@260827@3.26@T|A@311.83@3.61@TP2@2.92@n@n@n|B@331.66@5.91@TP3@4.78@n@n@n|D@353.55@8.45@n@6.84@n@n@n|C@388.97@12.56@n@10.16@n@n@n	True	0.88	w,o,w,o,s,-,o	ok	warn	warn	strong	ok	ok	1	null	2	1	2	63	16.14	73.7	1
GE	327.09	1	False	8.65	null	False	null	4.92	3.01	0.97	311.0	10	R@342.73@1.81@TP1@0.97@260908@0.87@F|R@375.58@5.61@TP2@3.01@260818@1.43@T|R@382.97@6.46@TP3@3.47@260702@0.64@F|R@388.84@7.14@n@3.84@260806@0.91@F|A@403.07@8.78@n@4.72@n@n@n|B@421.17@10.88@n@5.85@n@n@n|D@441.15@13.19@n@7.09@n@n@n|C@473.48@16.93@n@9.1@n@n@n	True	1.0	w,s,s,w,w,-,o	strong	strong	warn	warn	ok	warn	2	null	3	1	1	111	-5.12	31.6	2
AMAT	485.0	1	False	20.07	33	False	null	6.84	7.67	2.37	451.81	4	R@563.76@3.92@TP1@2.37@260813@1.71@T|R@739.67@12.69@TP2@7.67@260630@1.31@T|A@832.78@17.33@TP3@10.48@n@n@n|B@951.21@23.23@n@14.05@n@n@n|D@1081.97@29.75@n@17.99@n@n@n|C@1293.51@40.29@n@24.36@n@n@n	True	0.74	s,o,s,o,w,-,s	ok	strong	strong	warn	strong	ok	3	null	1	1	1	77	-1.07	26.3	1
LSCC	128.05	1	False	5.72	25	False	1	null	null	null	null	null	R@137.0@1.57@n@n@260817@0.7@F|R@139.98@2.09@n@n@260722@0.7@F|R@155.0@4.71@n@n@260630@1.14@F|A@164.44@6.37@n@n@n@n@n|B@173.9@8.02@n@n@n@n@n|D@184.34@9.85@n@n@n@n@n|C@201.23@12.8@n@n@n@n@n	False	0.9	s,w,s,o,w,-,s	warn	strong	strong	warn	strong	ok	3	null	2	1	2	60	5.44	36.8	1
WBD	30.86	2	False	0.45	28	False	1	null	null	null	null	null	P@30.92@0.13@n@n@n@n@n|A@31.78@2.04@n@n@n@n@n|B@32.89@4.5@n@n@n@n@n|D@34.1@7.18@n@n@n@n@n|C@36.07@11.55@n@n@n@n@n	False	0.55	--,--,--,o,--,-,s	--	--	--	--	strong	ok	1	null	0	1	2	3	11.25	76.8	1
ASX	44.31	2	False	1.74	23	False	1	null	null	null	null	null	R@44.47@0.09@n@n@260622@1.1@F|R@45.52@0.7@n@n@260702@1.31@T|A@47.43@1.79@n@n@n@n@n|B@49.85@3.18@n@n@n@n@n|D@52.53@4.72@n@n@n@n@n|C@56.86@7.21@n@n@n@n@n	False	0.63	s,w,o,o,s,-,s	warn	ok	strong	strong	strong	ok	3	null	1	1	2	18	15.48	76.8	1
SNDK	1777.8	2	False	111.61	28	False	null	6.41	5.06	0.26	1663.79	4	R@1807.38@0.27@TP1@0.26@260908@0.84@F|R@2354.39@5.17@TP2@5.06@260622@0.93@F|A@2582.88@7.21@TP3@7.06@n@n@n|B@2873.53@9.82@n@9.61@n@n@n|D@3194.42@12.69@n@12.43@n@n@n|C@3713.56@17.34@n@16.98@n@n@n	True	0.67	s,o,o,o,o,-,s	ok	ok	strong	ok	strong	ok	2	null	0	1	1	27	17.21	55.8	4
CRWV	87.59	1	False	5.47	30	False	1	null	null	null	null	null	R@94.3@1.23@n@n@260804@1.25@T|R@104.59@3.11@n@n@260908@1.78@T|R@117.49@5.46@n@n@260813@1.57@T|R@122.0@6.29@n@n@260617@0.94@F|P@138.25@9.26@n@n@n@n@n|A@147.82@11.01@n@n@n@n@n|B@160.0@13.23@n@n@n@n@n|D@173.45@15.69@n@n@n@n@n|C@195.2@19.67@n@n@n@n@n	False	0.8	w,s,s,w,w,-,s	strong	strong	warn	warn	strong	warn	3	null	3	1	1	82	2.13	35.2	2
PPG	107.52	1	False	2.48	null	False	null	3.54	2.29	1.66	103.71	11	R@113.86@2.56@TP1@1.66@260507@1.01@F|R@116.23@3.52@TP2@2.29@260828@0.81@F|R@118.37@4.38@TP3@2.85@260417@2.49@T|R@119.99@5.03@n@3.27@260807@0.66@F|P@125.7@7.34@n@4.77@n@n@n|A@132.69@10.16@n@6.61@n@n@n|B@141.58@13.75@n@8.94@n@n@n|D@151.4@17.71@n@11.52@n@n@n|C@167.28@24.13@n@15.69@n@n@n	True	0.89	w,w,s,o,o,-,o	warn	strong	warn	ok	ok	ok	1	null	2	1	2	121	-4.15	34.7	4
M	22.64	1	False	0.83	47	False	null	4.33	2.48	0.76	21.66	10	R@23.38@0.89@TP1@0.76@260908@1.2@T|R@25.07@2.93@TP2@2.48@260717@1.02@F|R@25.65@3.63@TP3@3.07@260612@0.98@F|R@26.1@4.17@n@3.53@260626@0.81@F|P@26.59@4.76@n@4.03@n@n@n|A@27.61@6.0@n@5.07@n@n@n|B@28.9@7.55@n@6.39@n@n@n|D@30.33@9.28@n@7.85@n@n@n|C@32.64@12.06@n@10.2@n@n@n	True	0.69	w,s,s,w,w,-,o	strong	strong	warn	warn	ok	warn	2	null	3	1	1	108	-2.75	28.4	2
JCI	150.2	1	False	3.6	27	False	1	null	null	null	null	null	R@151.18@0.27@n@n@260701@1.71@T|R@157.06@1.91@n@n@260805@1.33@T|A@162.72@3.48@n@n@n@n@n|B@169.93@5.49@n@n@n@n@n|D@177.88@7.7@n@n@n@n@n|C@190.75@11.28@n@n@n@n@n	False	0.86	o,o,o,o,o,-,o	ok	ok	ok	ok	ok	ok	0	null	0	1	1	48	3.56	55.8	1
OUST	43.72	1	False	2.65	26	False	1	null	null	null	null	null	R@49.39@2.14@n@n@260602@0.63@F|R@51.85@3.07@n@n@260817@1.17@F|R@63.79@7.57@n@n@260630@1.49@T|A@70.53@10.12@n@n@n@n@n|B@79.11@13.35@n@n@n@n@n|D@88.58@16.93@n@n@n@n@n|C@103.9@22.71@n@n@n@n@n	False	1.43	o,o,w,o,w,-,s	ok	warn	ok	warn	strong	ok	1	null	2	1	1	41	13.36	33.7	1
DT	57.95	2	False	1.81	27	False	1	null	null	null	null	null	P@59.41@0.8@n@n@n@n@n|A@62.09@2.28@n@n@n@n@n|B@65.5@4.16@n@n@n@n@n|D@69.26@6.23@n@n@n@n@n|C@75.35@9.59@n@n@n@n@n	False	0.94	s,w,o,o,s,-,s	warn	ok	strong	strong	strong	ok	3	null	1	3	2	9	16.05	74.7	1
