# DICT bracket.invalid_reason: 1=no valid bracket — no structural resistance above price; 2=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma50; 6=swing_low; 7=swing_low_1; 8=swing_low_2; 9=swing_low_3
# DICT gics_sector_name: 1=Communication Services; 2=Consumer Discretionary; 3=Consumer Staples; 4=Energy; 5=Financials; 6=Healthcare; 7=Industrials; 8=Materials; 9=Real Estate; 10=Technology; 11=Utilities
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT next_earnings_date: 1=2026-09-08; 2=2026-09-10; 3=2026-09-11; 4=2026-09-29; 5=2026-09-30; 6=2026-10-05; 7=2026-10-13; 8=2026-10-14; 9=2026-10-15; 10=2026-10-16; 11=2026-10-19; 12=2026-10-20; 13=2026-10-21; 14=2026-11-05; 15=2026-11-06; 16=2026-11-09; 17=2026-11-10; 18=2026-11-12; 19=2026-11-13; 20=2026-11-17; 21=2026-11-18; 22=2026-11-19; 23=2026-11-24; 24=2026-12-01; 25=2026-12-02; 26=2026-12-03
# DICT sector_trend_state: 1=Declining — Avoid; 2=Momentum Building — Add; 3=Momentum Fading — Hold, Don't Add; 4=Recovering From Weakness — Watch for Entry
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	structure	structure_shift	sma_distance_pct	atr_14d	day_vol	mp_state	mp_accel_state	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	bracket.atr_fallback_stop	bracket.invalid_reason	high_52w	pct_from_52w_high	pivot_high	pct_from_pivot	rs_rank_pct	next_earnings_date
MET	57	False	XLF	5	3	60.0	4	3.48	1.88	0.92	1	1	97.62	null	null	False	null	95.74	2	99.95	-2.33	98.58	-0.97	81.67	null
SLM	91	False	XLF	5	3	73.7	4	3.75	0.74	1.01	1	2	27.08	null	null	False	null	26.34	2	31.11	-12.95	27.28	-0.73	86.1	null
ZETA	7	False	XLK	10	2	76.8	1	26.15	1.53	0.61	2	null	31.35	null	null	False	null	29.82	2	32.68	-4.07	29.89	4.88	91.88	null
GEN	60	False	XLK	10	2	66.3	1	10.51	0.94	0.83	2	2	30.65	null	null	False	null	29.71	2	31.33	-2.17	29.87	2.61	80.93	14
PATH	99	False	XLK	10	2	52.6	4	9.32	1.0	1.58	2	2	15.19	13.89	5	True	8.56	14.19	null	19.29	-21.25	16.82	-9.69	76.01	null
S	111	False	XLK	10	2	46.3	4	0.29	1.1	0.75	2	2	19.88	18.74	2	True	5.73	18.78	null	23.84	-16.61	22.95	-13.38	84.75	null
SGI	92	False	XLP	3	1	49.5	4	0.77	2.56	0.81	1	1	69.87	null	null	False	null	67.31	2	97.99	-28.7	70.54	-0.95	11.81	14
EQH	68	False	XLF	5	3	71.6	4	8.08	1.35	0.87	1	2	52.96	null	null	False	null	51.61	2	54.41	-2.66	53.32	-0.68	80.44	null
BE	62	False	XLI	7	4	38.9	4	11.65	19.27	1.38	1	2	252.87	230.61	6	True	8.8	233.6	null	345.85	-26.88	253.31	-0.17	95.57	null
CRM	12	False	XLK	10	2	76.8	1	35.26	10.32	0.64	2	3	259.23	null	null	False	null	248.91	2	266.23	-2.63	175.43	47.77	76.14	25
EL	28	False	XLP	3	1	78.9	4	17.36	3.4	1.22	2	2	103.86	null	null	False	null	100.46	2	119.61	-13.17	108.38	-4.17	52.89	null
