# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT sector_trend_state: 1=Declining — Avoid; 2=Momentum Building — Add; 3=Momentum Fading — Hold, Don't Add; 4=Recovering From Weakness — Watch for Entry
ticker	ma_20	ma_50	ma_100	ma_200	sma_distance_pct	mp_state	sector_trend_state	entry	bracket.stop	atr_caution	bracket.valid	bracket.atr_fallback_stop	bracket.invalid_reason	ma_40	cci_20	extension_atr_20
PSX	242.69	216.05	194.59	172.99	19.94	2	3	259.14	null	False	False	252.15	1	224.71	163.53	2.35
DINO	97.38	89.07	78.46	65.9	21.6	2	3	108.31	null	False	False	104.55	1	92.59	156.19	2.91
BE	221.87	226.98	250.34	192.11	22.13	1	4	277.22	256.43	False	True	257.12	null	216.42	232.37	2.75
CGNX	61.57	63.83	62.87	53.67	-2.51	1	3	62.23	null	False	False	59.85	1	62.93	41.4	0.28
CNH	11.67	11.1	10.8	10.77	22.58	3	4	13.6	null	False	False	13.02	1	11.19	149.63	3.33
LRCX	313.46	320.71	315.53	261.78	-0.09	1	3	320.42	null	False	False	304.21	1	310.14	32.54	0.43
SGI	65.45	69.17	70.78	78.8	0.56	1	1	69.56	null	False	False	67.06	1	67.49	191.69	1.64
ITUB	7.61	8.02	8.1	8.1	3.67	1	4	8.31	8.02	False	True	8.08	null	7.95	204.04	3.04
CNP	39.85	41.79	42.24	41.46	-4.0	1	2	40.12	null	False	False	39.35	1	41.22	22.94	0.35
INTC	94.3	100.13	104.26	74.51	4.33	1	3	104.47	98.33	False	True	98.98	null	95.49	121.41	1.85
PBR	18.88	18.27	18.84	17.11	14.04	3	3	20.83	null	False	False	20.19	1	18.66	143.15	3.05
WMB	73.6	73.33	73.57	70.23	3.41	2	3	75.83	null	False	False	73.8	1	73.08	84.91	1.1
VOD	16.2	15.46	15.3	14.71	11.97	1	4	17.31	null	False	False	16.98	1	15.93	296.31	3.36
