# DICT bracket.targets fields (in order): type,price,date,atr_dist,vol_ratio,vol_validated,tp,r; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT elder_pattern: 1=ACCELERATION; 2=ACCUMULATION_BASE; 3=CORRECTION_REENTRY; 4=INTERRUPTED; 5=SUSTAINED
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	choch_state	elder_5d	elder_pattern	ma_20	ma_50	malformed_bracket	mp_state	pin_bar_level	pin_bar_state	structure_shift
IRM	118.13	1	False	3.47	30	1	null	null	null	null	null	R@119.42@260908@0.37@1.21@T@n@n|R@125.4@260827@2.09@0.78@F@n@n|R@129.4@260805@3.25@1.3@T@n@n|R@132.87@260724@4.25@0.87@F@n@n|P@134.68@n@4.77@n@n@n@n|A@138.02@n@5.73@n@n@n@n|B@142.28@n@6.96@n@n@n@n|D@146.97@n@8.31@n@n@n@n|C@154.57@n@10.5@n@n@n@n	False	1	[3, 3, 5, 8, 9]	4	115.73	120.86	null	1	null	NONE	2
AMD	623.77	2	False	25.77	29	1	null	null	null	null	null	P@624.51@n@0.03@n@n@n@n|A@674.56@n@1.97@n@n@n@n|B@738.23@n@4.44@n@n@n@n|D@808.52@n@7.17@n@n@n@n|C@922.24@n@11.58@n@n@n@n	False	2	[10, 10, 10, 10, 10]	5	506.22	498.79	null	3	null	NONE	1
LRCX	310.96	1	False	15.89	null	1	null	null	null	null	null	R@321.41@260827@0.66@0.78@F@n@n|R@345.28@260817@2.16@0.8@F@n@n|R@438.5@260630@8.03@1.24@T@n@n|A@459.47@n@9.34@n@n@n@n|B@486.14@n@11.02@n@n@n@n|D@515.59@n@12.88@n@n@n@n|C@563.23@n@15.87@n@n@n@n	False	1	[0, 0, 3, 5, 10]	4	297.25	306.04	null	1	null	NONE	2
KLIC	89.54	2	False	4.24	40	1	null	null	null	null	null	R@89.59@260424@0.01@1.45@T@n@n|R@98.0@260805@1.99@1.27@T@n@n|R@103.39@260817@3.26@1.04@F@n@n|R@107.01@260507@4.12@3.63@T@n@n|P@135.8@n@10.91@n@n@n@n|A@146.5@n@13.43@n@n@n@n|B@160.11@n@16.64@n@n@n@n|D@175.14@n@20.18@n@n@n@n|C@199.45@n@25.91@n@n@n@n	False	2	[2, 5, 7, 9, 10]	1	82.25	89.84	null	1	null	NONE	1
DOCS	26.51	1	False	1.19	31	1	null	null	null	null	null	R@26.69@260512@0.15@1.16@F@n@n|R@27.32@260903@0.68@0.38@F@n@n|R@40.0@260807@11.36@9.17@T@n@n|A@45.47@n@15.96@n@n@n@n|B@52.43@n@21.82@n@n@n@n|D@60.12@n@28.29@n@n@n@n|C@72.55@n@38.75@n@n@n@n	False	1	[7, 7, 7, 8, 8]	null	25.88	24.18	null	1	null	NONE	4
CLS	356.09	1	False	19.39	null	1	null	null	null	null	null	R@365.52@260813@0.49@1.03@F@n@n|R@378.0@260709@1.13@0.88@F@n@n|R@414.13@260615@2.99@0.68@F@n@n|R@435.0@260505@4.07@0.71@F@n@n|P@474.03@n@6.08@n@n@n@n|A@510.49@n@7.96@n@n@n@n|B@556.86@n@10.36@n@n@n@n|D@608.06@n@13.0@n@n@n@n|C@690.89@n@17.27@n@n@n@n	False	2	[5, 9, 10, 10, 10]	1	318.87	323.33	null	1	null	NONE	1
ILMN	247.46	1	False	10.57	26	1	null	null	null	null	null	P@250.06@n@0.25@n@n@n@n|A@263.67@n@1.53@n@n@n@n|B@280.99@n@3.17@n@n@n@n|D@300.11@n@4.98@n@n@n@n|C@331.04@n@7.91@n@n@n@n	False	2	[10, 10, 10, 10, 10]	5	221.06	206.18	null	2	null	NONE	1
FAST	50.08	1	False	1.01	null	1	null	null	null	null	null	R@52.15@260824@2.05@0.72@F@n@n|R@52.92@260811@2.81@1.12@F@n@n|A@55.33@n@5.2@n@n@n@n|B@58.4@n@8.25@n@n@n@n|D@61.78@n@11.6@n@n@n@n|C@67.26@n@17.03@n@n@n@n	False	2	[3, 3, 3, 5, 8]	2	49.47	49.11	null	1	null	NONE	4
LITE	945.67	1	False	66.26	29	1	null	null	null	null	null	R@960.0@260409@0.22@0.95@F@n@n|R@998.5@260615@0.8@0.9@F@n@n|R@1049.53@260603@1.57@0.96@F@n@n|R@1085.68@260512@2.11@1.27@T@n@n|A@1148.53@n@3.06@n@n@n@n|B@1228.48@n@4.27@n@n@n@n|D@1316.74@n@5.6@n@n@n@n|C@1459.54@n@7.76@n@n@n@n	False	2	[5, 3, 7, 8, 10]	4	910.35	848.37	null	1	null	NONE	4
TXN	271.41	1	False	8.62	24	1	null	null	null	null	null	R@273.33@260911@0.22@0.97@F@n@n|R@287.83@260424@1.9@1.9@T@n@n|R@310.29@260514@4.51@0.64@F@n@n|R@315.34@260709@5.1@0.61@F@n@n|P@334.03@n@7.26@n@n@n@n|A@350.39@n@9.16@n@n@n@n|B@371.2@n@11.58@n@n@n@n|D@394.18@n@14.24@n@n@n@n|C@431.35@n@18.55@n@n@n@n	False	1	[3, 2, 7, 9, 10]	1	261.55	272.54	null	1	null	NONE	2
